PG Name,Address,Contact No,Map Link
Jain Hostel Amravati,"
Maltekdi Rd, near Bus Station, Maltekdi, Amravati, Maharashtra 444602","
0721 266 3054","https://www.google.com/maps/place/Jain+Hostel+Amravati/@20.9475177,77.6928519,13z/data=!4m10!1m2!2m1!1sPG+in+Amravati+Maharashtra!3m6!1s0x3bd6a4a23ca436f7:0x9d5007ad0c4e9cd9!8m2!3d20.9302512!4d77.766352!15sChpQRyBpbiBBbXJhdmF0aSBNYWhhcmFzaHRyYVocIhpwZyBpbiBhbXJhdmF0aSBtYWhhcmFzaHRyYZIBFnN0dWRlbnRfaG91c2luZ19jZW50ZXKaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkNjVFJmZUVKbkVBReABAPoBBQiHARAr!16s%2Fg%2F1tdkw3_v?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D"
Pitruchhaya Boys Hostel,"
Badnera road, plot, behind Shreyash Motors, Vidhya Vihar Colony, Navathe Nagar, Amravati, Maharashtra 444605","
096533 61153","https://www.google.com/maps/place/Pitruchhaya+Boys+Hostel/@20.9102105,77.6787212,13z/data=!4m10!1m2!2m1!1sPG+in+Amravati+Maharashtra!3m6!1s0x3bd6a579285d612d:0xaa95e4658ae63251!8m2!3d20.9102105!4d77.750819!15sChpQRyBpbiBBbXJhdmF0aSBNYWhhcmFzaHRyYVocIhpwZyBpbiBhbXJhdmF0aSBtYWhhcmFzaHRyYZIBEXN0dWRlbnRfZG9ybWl0b3J5mgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDIwNGVXRXhhRk5WYkU0MFdsUkNSMlJJYnpWWFZFSnlVa2hTU0UxdVl4QULgAQD6AQQIABAi!16s%2Fg%2F11fr0s2_3y?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D"
St Boys Hostel,"
VQP2+73M, Gopal Nagar, Amravati, Maharashtra 444607",NA,"https://www.google.com/maps/place/St+Boys+Hostel/@20.9102105,77.6787212,13z/data=!4m10!1m2!2m1!1sPG+in+Amravati+Maharashtra!3m6!1s0x3bd6a52bcd77e551:0x222571658876b97e!8m2!3d20.8857189!4d77.7501674!15sChpQRyBpbiBBbXJhdmF0aSBNYWhhcmFzaHRyYVocIhpwZyBpbiBhbXJhdmF0aSBtYWhhcmFzaHRyYZIBFnN0dWRlbnRfaG91c2luZ19jZW50ZXKaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUkxiMUJwU1VabkVBReABAPoBBAgAEBg!16s%2Fg%2F11c5s78_d9?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D"
Sai,"
Holywood Nagar, Amravati, Maharashtra 444604","
094057 87772","https://www.google.com/maps/place/Sai/@20.9628663,77.6840773,13z/data=!4m10!1m2!2m1!1sPG+in+Amravati+Maharashtra!3m6!1s0x3bd6a3377963b359:0x9ca56f305e03c7cd!8m2!3d20.9628663!4d77.7561751!15sChpQRyBpbiBBbXJhdmF0aSBNYWhhcmFzaHRyYVocIhpwZyBpbiBhbXJhdmF0aSBtYWhhcmFzaHRyYZIBDGdpcmxzX2hvc3RlbJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOaWFqbHlZalZuUlJBQuABAPoBBAhcECY!16s%2Fg%2F11bxdvd7g9?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D"
Aadivaasi Hostel,"
WP7R+V68, Ayodhya Vihar, Sharda Vihar, Amravati, Maharashtra 444605",NA,"https://www.google.com/maps/place/Aadivaasi+Hostel/@20.9146654,77.6684746,13z/data=!4m10!1m2!2m1!1sPG+in+Amravati+Maharashtra!3m6!1s0x3bd6bb4bcc7e1ecd:0x5a12ce4e45f9822f!8m2!3d20.9146654!4d77.7405724!15sChpQRyBpbiBBbXJhdmF0aSBNYWhhcmFzaHRyYVocIhpwZyBpbiBhbXJhdmF0aSBtYWhhcmFzaHRyYZIBC2JveXNfaG9zdGVsmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJTYlV0Mk9HOTNSUkFC4AEA-gEECAAQJQ!16s%2Fg%2F11c2nn8v1q?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D"
AAKAA Boys Hostel,"
WQHJ+W7R, MIDC Rd, Chaprasi Pura, Apratim Colony, Amravati, Maharashtra 444602",NA,"https://www.google.com/maps/place/AAKAA+Boys+Hostel/@20.9298548,77.7085499,13z/data=!4m10!1m2!2m1!1sPG+in+Amravati+Maharashtra!3m6!1s0x3bd6a484dc8cdb3b:0xd36abe9132d9a268!8m2!3d20.9298548!4d77.7806477!15sChpQRyBpbiBBbXJhdmF0aSBNYWhhcmFzaHRyYVocIhpwZyBpbiBhbXJhdmF0aSBtYWhhcmFzaHRyYZIBC2JveXNfaG9zdGVsmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJRYlRsUFJrZFJFQUXgAQD6AQQIABAl!16s%2Fg%2F11g65czdn3?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D"
Janai Girl's Hostel,"
C/o, Dr Kothekar, Maha Bank Colony, Guruchhaya Colony, Sai Nagar, Amravati, Maharashtra 444607","
099228 57552","https://www.google.com/maps/place/Janai+Girl's+Hostel/@20.8954453,77.6695952,13z/data=!4m10!1m2!2m1!1sPG+in+Amravati+Maharashtra!3m6!1s0x3bd6bb09caaf3af3:0x3d17e28a1af7d030!8m2!3d20.8954453!4d77.741693!15sChpQRyBpbiBBbXJhdmF0aSBNYWhhcmFzaHRyYVocIhpwZyBpbiBhbXJhdmF0aSBtYWhhcmFzaHRyYZIBDGdpcmxzX2hvc3RlbOABAA!16s%2Fg%2F11vx4dyckh?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D"
Shri shivaji boy's hostel amravati,"
WQR7+85C, Amravati, Maharashtra 444603",NA,"https://www.google.com/maps/place/Shri+shivaji+boy's+hostel+amravati/@20.9408073,77.6907782,13z/data=!4m10!1m2!2m1!1sPG+in+Amravati+Maharashtra!3m6!1s0x3bd6a30a5a5fe0fb:0x95e4e74c5f1aba30!8m2!3d20.9408073!4d77.762876!15sChpQRyBpbiBBbXJhdmF0aSBNYWhhcmFzaHRyYVocIhpwZyBpbiBhbXJhdmF0aSBtYWhhcmFzaHRyYZIBEXN0dWRlbnRfZG9ybWl0b3J5mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJNZEZwUWRqZFJSUkFC4AEA-gEECAAQGA!16s%2Fg%2F11rw7fq6ng?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D"
Pg,"
WP2G+FJ7, Sai Nagar, Amravati, Maharashtra 444607",NA,"https://www.google.com/maps/place/Pg/@20.9011712,77.6544587,13z/data=!4m10!1m2!2m1!1sPG+in+Amravati+Maharashtra!3m6!1s0x3bd6bb00497ff61b:0x4f9e849d833d6277!8m2!3d20.9011712!4d77.7265565!15sChpQRyBpbiBBbXJhdmF0aSBNYWhhcmFzaHRyYZIBE2hvdXNpbmdfZGV2ZWxvcG1lbnTgAQA!16s%2Fg%2F11yskfplbv?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D"
Yash Hostel(Rooms for boys),"
WQPF+4PJ, Maltekdi, Amravati, Maharashtra 444602",NA,"https://www.google.com/maps/place/Yash+Hostel(Rooms+for+boys)/@20.9353286,77.7021662,13z/data=!4m10!1m2!2m1!1sPG+in+Amravati+Maharashtra!3m6!1s0x3bd6a49dda6cb585:0x1c5cdae59d5c8eac!8m2!3d20.9353286!4d77.774264!15sChpQRyBpbiBBbXJhdmF0aSBNYWhhcmFzaHRyYZIBEXN0dWRlbnRfZG9ybWl0b3J54AEA!16s%2Fg%2F11c6cxw4b9?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D"
Bari Sadan,"
WQX7+8P8, behind Dr. Totey hospital, Rathi Nagar, Gadge Nagar, Amravati, Maharashtra 444603","
094036 61733","https://www.google.com/maps/place/Bari+Sadan/@20.9353286,77.7021662,13z/data=!4m10!1m2!2m1!1sPG+in+Amravati+Maharashtra!3m6!1s0x3bd6a35ccc55dc7d:0x6bf385666d1dadc1!8m2!3d20.9482771!4d77.7643204!15sChpQRyBpbiBBbXJhdmF0aSBNYWhhcmFzaHRyYVocIhpwZyBpbiBhbXJhdmF0aSBtYWhhcmFzaHRyYZIBC2JveXNfaG9zdGVsmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJ3Y2t4MVRrdFJFQUXgAQD6AQQIABAa!16s%2Fg%2F11c58fpmt_?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D"
Bansi Nanda Girls Hostle,"
near Dental College, SRPF Colony, Amravati, Maharashtra 444602","
097665 47002","https://www.google.com/maps/place/Bansi+Nanda+Girls+Hostle/@20.9344306,77.7232562,13z/data=!4m10!1m2!2m1!1sPG+in+Amravati+Maharashtra!3m6!1s0x3bd6a5dc5def9609:0x433158d988711c02!8m2!3d20.9344306!4d77.795354!15sChpQRyBpbiBBbXJhdmF0aSBNYWhhcmFzaHRyYZIBDGdpcmxzX2hvc3RlbOABAA!16s%2Fg%2F11rk6gp3pd?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D"
Saipushpa Girls Hostel,"
Prafful Colony, near post office, Siddheshwar Colony, Sai Nagar, Amravati, Maharashtra 444607","
090961 40383","https://www.google.com/maps/place/Saipushpa+Girls+Hostel/@20.8960426,77.6683646,13z/data=!4m10!1m2!2m1!1sPG+in+Amravati+Maharashtra!3m6!1s0x3bd6bb2c3b978bed:0x801bc46664cb4953!8m2!3d20.8960426!4d77.7404624!15sChpQRyBpbiBBbXJhdmF0aSBNYWhhcmFzaHRyYVocIhpwZyBpbiBhbXJhdmF0aSBtYWhhcmFzaHRyYZIBDGdpcmxzX2hvc3RlbJoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyMWplVmRIZUVwaVZ6VjZUMVpPTUZKSGNIcGxhelZOVDFac2JWSlZSUkFC4AEA-gEECDQQRA!16s%2Fg%2F11d_87v043?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D"
Chafale's PG house,"
WQ66+6JF, Bapu Colony, Amravati, Maharashtra 444606",NA,"https://www.google.com/maps/place/Chafale's+PG+house/@20.9105529,77.6894418,13z/data=!4m10!1m2!2m1!1sPG+in+Amravati+Maharashtra!3m6!1s0x3bd6a5df01839d59:0xf8ff93ee4e4b3832!8m2!3d20.9105529!4d77.7615396!15sChpQRyBpbiBBbXJhdmF0aSBNYWhhcmFzaHRyYZIBEmFwYXJ0bWVudF9idWlsZGluZ-ABAA!16s%2Fg%2F11t0swmldp?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D"
