PG Name,Address,Contact No,Map Link
Suvarn Building (PG),"VH4C+VR Sangli, Maharashtra",091758 81854,"https://www.google.com/maps/place/Suvarn+Building+(PG)/@16.8571299,74.5360025,14z/data=!4m10!1m2!2m1!1sPG+in+Sangli!3m6!1s0x3bc1186a30000001:0xa0f7025629cdef6c!8m2!3d16.8571299!4d74.5720514!15sCgxQRyBpbiBTYW5nbGlaDiIMcGcgaW4gc2FuZ2xpkgELYm95c19ob3N0ZWzgAQA!16s%2Fg%2F11dd_nsz_m?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D"
Pritam Mahila Vasti Graha and Abhyasika(Girls PG/Hostel and Library),"VH47+2H Sangli, Maharashtra",094226 91671,"https://www.google.com/maps/place/Pritam+Mahila+Vasti+Graha+and+Abhyasika(Girls+PG%2FHostel+and+Library)/@16.8571299,74.5360025,14z/data=!4m10!1m2!2m1!1sPG+in+Sangli!3m6!1s0x3bc1192978411673:0x841e684a253fdb6b!8m2!3d16.8550864!4d74.5639012!15sCgxQRyBpbiBTYW5nbGlaDiIMcGcgaW4gc2FuZ2xpkgEMZ2lybHNfaG9zdGVsmgEkQ2hkRFNVaE5NRzluUzBWTmJVeHdkalkwTFhSdFRuRjNSUkFC4AEA-gEECAAQOQ!16s%2Fg%2F11y1m5qsgd?entry=ttu&g_ep=EgoyMDI2MDMwNS4wIKXMDSoASAFQAw%3D%3D"
