PG Name,Address,Contact No,Map Link
Suvarn Building (PG),"
St Stand Rd, near udgaonkar hospital, near Zee Bazar, Khanbhag, Sangli, Sangli Miraj Kupwad, Maharashtra 416416",091758 81854,"https://www.google.com/maps/place/Suvarn+Building+(PG)/@16.8571299,74.5360025,14z/data=!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc1186a30000001:0xa0f7025629cdef6c!8m2!3d16.8571299!4d74.5720514!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmFaGiIYcGcgaW4gc2FuZ2xpIG1haGFyYXNodHJhkgELYm95c19ob3N0ZWzgAQA!16s%2Fg%2F11dd_nsz_m?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
Pritam Mahila Vasti Graha and Abhyasika(Girls PG/Hostel and Library),"
opp. Gandhi Hospital, near Rajmati Girls High School, Neminathnagar, Vishrambag, Sangli, Sangli Miraj Kupwad, Maharashtra 416415","
094226 91671","https://www.google.com/maps/place/Pritam+Mahila+Vasti+Graha+and+Abhyasika(Girls+PG%2FHostel+and+Library)/@16.8550864,74.5278523,14z/data=!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc1192978411673:0x841e684a253fdb6b!8m2!3d16.8550864!4d74.5639012!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmFaGiIYcGcgaW4gc2FuZ2xpIG1haGFyYXNodHJhkgEMZ2lybHNfaG9zdGVsmgEkQ2hkRFNVaE5NRzluUzBWTmJVeHdkalkwTFhSdFRuRjNSUkFC4AEA-gEECAAQOQ!16s%2Fg%2F11y1m5qsgd?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
Mauli Boys Hostel,"
bus stop, Govt.colony,plot no 6,Behind walchand college of Engg.,Vishrambag,Sangli *Land mark :Near maruti mandir, opposite Govt.colony, Vishrambag, Sangli, Maharashtra 416415",098601 03040,"https://www.google.com/maps/place/Mauli+Boys+Hostel/@16.8484303,74.5551071,14z/data=!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc11972832e9a39:0x4ad06c82ef81551a!8m2!3d16.8484303!4d74.591156!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmFaGiIYcGcgaW4gc2FuZ2xpIG1haGFyYXNodHJhkgELYm95c19ob3N0ZWyaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnRXYmxWWFVteGhNMVkxV0RGQ1EyVlVhSHBSTURGWFRXNVNiMDFXUlJBQuABAPoBBAgAEB4!16s%2Fg%2F11whmp83mp?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
P G Hostel,"
RHXX+MG4, Near Willingdon College, Jai Hind Colony, Vishrambag, Sangli, Sangli Miraj Kupwad, Maharashtra 416415",NA,"https://www.google.com/maps/place/P+G+Hostel/@16.8405277,74.5634958,14z/data=!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc1239bd5913c83:0xc309f31a32a40fe7!8m2!3d16.8405277!4d74.5995447!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmGSARFzdHVkZW50X2Rvcm1pdG9yeeABAA!16s%2Fg%2F11s5vk045_?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
"Om Bungalow, Danane Block","
Chankyapuri, MSEB Rd, beside Sai Mandir, Chankyapuri Garden, Sangli, Sangli Miraj Kupwad, Maharashtra 416415",NA,"https://www.google.com/maps/place/Om+Bungalow,+Danane+Block/@16.8405277,74.5634958,14z/data=!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc12283f4340001:0x8e8487fccdc19732!8m2!3d16.849134!4d74.5988323!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmFaGiIYcGcgaW4gc2FuZ2xpIG1haGFyYXNodHJhkgELYm95c19ob3N0ZWyaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMjFXVm1WRmVETlpiV1JoVVd4b2RXRnVZekprUkZKNFpESk5NbFV4UlJBQuABAPoBBAgAECc!16s%2Fg%2F11cs1sgq5c?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
"Om Bungalow, Danane Block","
Chankyapuri, MSEB Rd, beside Sai Mandir, Chankyapuri Garden, Sangli, Sangli Miraj Kupwad, Maharashtra 416415","
090112 29222","https://www.google.com/maps/place/Nalanda+Womens+Hostel/@16.8405277,74.5634958,14z/data=!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc1234e47a4d923:0x5450ee61cb179a8c!8m2!3d16.8412984!4d74.5945052!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmFaGiIYcGcgaW4gc2FuZ2xpIG1haGFyYXNodHJhkgERc3R1ZGVudF9kb3JtaXRvcnmaASBDaFJEU1VoTk1HOW5TMFZKUTBGblNVUnNhalZXU1JBQuABAPoBBAgAEDw!16s%2Fg%2F11y21ynsl6?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
Nalanda Womens Hostel,"
PARAG BANGLA, PLOT NO 7/11, 100 Feet Rd, near PALUS BANK, Savarkar Colony, Vishrambag, Sangli, Sangli Miraj Kupwad, Maharashtra 416416","
090112 29222","https://www.google.com/maps/place/Nalanda+Womens+Hostel/@16.8405277,74.5634958,14z/data=!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc1234e47a4d923:0x5450ee61cb179a8c!8m2!3d16.8412984!4d74.5945052!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmFaGiIYcGcgaW4gc2FuZ2xpIG1haGFyYXNodHJhkgERc3R1ZGVudF9kb3JtaXRvcnmaASBDaFJEU1VoTk1HOW5TMFZKUTBGblNVUnNhalZXU1JBQuABAPoBBAgAEDw!16s%2Fg%2F11y21ynsl6?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
Nalanda Womens Hostel,"
Sri Ram Nagar Wanlesswadi, Vishrambag, Sangli, Maharashtra 416414",NA,"https://www.google.com/maps/place/Parag+Girls+PG/@16.8453007,74.5576111,14z/data=!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc123289d70fc73:0x397e535089b39490!8m2!3d16.8453007!4d74.59366!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmGSAQxnaXJsc19ob3N0ZWzgAQA!16s%2Fg%2F11yz9dctkn?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
Nagaratna Women's Hostel,"
Meera Colony, Vishrambag, Sangli Miraj Kupwad, Maharashtra 416415",NA,"https://www.google.com/maps/place/Nagaratna+Women's+Hostel/@16.8384642,74.5761039,14z/data=!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc1226147797453:0xef7c79406c56a3ca!8m2!3d16.8384642!4d74.6121528!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmFaGiIYcGcgaW4gc2FuZ2xpIG1haGFyYXNodHJhkgERc3R1ZGVudF9kb3JtaXRvcnmaASRDaGREU1VoTk1HOW5TMFZMVTBkNE9GZDVjamhNVnpaM1JSQULgAQD6AQQIQRAm!16s%2Fg%2F11cn6b_yc8?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
Omkar boys hostel,"
Survey No. 44/3A, Patil Mala, Plot number 20, Near, Wanlesswadi High School Rd, Wanlesswadi, Sangli, Maharashtra 416414","
099759 95627","https://www.google.com/maps/place/Omkar+boys+hostel/@16.8378999,74.5688473,14z/data=!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc123b33b792c1d:0x2044e579113e838a!8m2!3d16.8378999!4d74.6048962!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmGSARFzdHVkZW50X2Rvcm1pdG9yeeABAA!16s%2Fg%2F11j1pm6t3f?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
