Sr No,PG Name,Address,Contact No,Map Link
23,SHELAR BLOCK - Student Private Hostel,"
RHWX+P8H, Vishrambag, Sangli, Sangli Miraj Kupwad, Maharashtra 416415",NA,"https://www.google.com/maps/place/DURGA+PG/@18.5114601,73.9017441,14z/data=!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc2c38e7d9f55ed:0x4d2886157c5c3708!8m2!3d18.5114601!4d73.937793!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmFaGiIYcGcgaW4gc2FuZ2xpIG1haGFyYXNodHJhkgERc3R1ZGVudF9kb3JtaXRvcnmaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTmFOazAzTm5ablJSQULgAQD6AQQIABBA!16s%2Fg%2F11f1y72tzd?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
24,SHELAR BLOCK - Student Private Hostel,"
RHWX+P8H, Vishrambag, Sangli, Sangli Miraj Kupwad, Maharashtra 416415",NA,"https://www.google.com/maps/place/DURGA+PG/@18.5114601,73.9017441,14z/data=!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc2c38e7d9f55ed:0x4d2886157c5c3708!8m2!3d18.5114601!4d73.937793!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmFaGiIYcGcgaW4gc2FuZ2xpIG1haGFyYXNodHJhkgERc3R1ZGVudF9kb3JtaXRvcnmaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTmFOazAzTm5ablJSQULgAQD6AQQIABBA!16s%2Fg%2F11f1y72tzd?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
25,SHELAR BLOCK - Student Private Hostel,"
RHWX+P8H, Vishrambag, Sangli, Sangli Miraj Kupwad, Maharashtra 416415",NA,"https://www.google.com/maps/place/ACUTE+INSTITUTE+OF+FIRE+%26+SAFETY/@16.8472053,74.5561578,14z/data=!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc119b920c693cf:0xc5629c1d67f28409!8m2!3d16.8472053!4d74.5922067!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmFaGiIYcGcgaW4gc2FuZ2xpIG1haGFyYXNodHJhkgEVZmlyZV9maWdodGVyc19hY2FkZW15mgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5FZFVsRGFWVlJFQUXgAQD6AQQIABAq!16s%2Fg%2F11j7w_6qyv?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
26,NA,"
Rajnemi Campus, Timber Area Rd, Sangli, Maharashtra 416416","
0233 237 2102","https://www.google.com/maps/place/Smt.+Kasturbai+Walchand+College/@16.8472053,74.5561578,14z/data=!3m1!5s0x3bc1186ceb2a8d41:0x1a6f914554616c4a!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc1186c93766ad7:0xba93ac2af652bb4!8m2!3d16.8619358!4d74.576816!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmFaGiIYcGcgaW4gc2FuZ2xpIG1haGFyYXNodHJhkgEHY29sbGVnZZoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyNUNjRkpYYkdoVWExWlBaVlpzZFdNeWNGUldlazVWVEZSb1ZWVnJSUkFC4AEA-gEECAAQJA!16s%2Fg%2F1thcqsr1?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
27,Smt. Kasturbai Walchand College,NA,NA,"https://www.google.com/maps/place/Smt.+Mathubai+Garware+Kanya+Mahavidhyalaya+Sangli/@16.8563008,74.5276163,14z/data=!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc118440696c72f:0x166830aa7cca5407!8m2!3d16.8563008!4d74.5636652!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmFaGiIYcGcgaW4gc2FuZ2xpIG1haGFyYXNodHJhkgEHY29sbGVnZZoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQycGFXVlJIVWxCTlJFNTZVMFZyTWxWc1RsUlpWV3hRWTIxcmVWbHVZeEFC4AEA-gEECAAQPA!16s%2Fg%2F1pyqskfbc?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
28,Smt. Mathubai Garware Kanya Mahavidhyalaya Sangli,"
NH361, Gaon Bhag, Sangli, Sangli Miraj Kupwad, Maharashtra 416416",NA,"https://www.google.com/maps/place/Smt.+Mathubai+Garware+Kanya+Mahavidhyalaya+Sangli/@16.8563008,74.5276163,14z/data=!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc118440696c72f:0x166830aa7cca5407!8m2!3d16.8563008!4d74.5636652!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmFaGiIYcGcgaW4gc2FuZ2xpIG1haGFyYXNodHJhkgEHY29sbGVnZZoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQycGFXVlJIVWxCTlJFNTZVMFZyTWxWc1RsUlpWV3hRWTIxcmVWbHVZeEFC4AEA-gEECAAQPA!16s%2Fg%2F1pyqskfbc?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
29,Desai Nursing College,"
Madhavnagar Rd, near Yamaha Showroom, opp. DMA Hall, Ghanshyam Nagar, Kala Nagar, Sangli, Sangli Miraj Kupwad, Maharashtra 416416","
094207 04050","https://www.google.com/maps/place/Desai+Nursing+College/@16.8752409,74.5450197,14z/data=!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc11988782e0baf:0x6d6e47e89812c0b3!8m2!3d16.8752409!4d74.5810686!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmFaGiIYcGcgaW4gc2FuZ2xpIG1haGFyYXNodHJhkgEObnVyc2luZ19zY2hvb2yaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUk1iMlZ0YmtWM0VBReABAPoBBAgAEEg!16s%2Fg%2F11fnb4xd_r?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
30,Vishwa Medical Admission Point - Sangli,"
4th Floor, Impact Hight, near TVS Showroom, Indraprastha Nagar, Vyankatesh Nagar, Sangli, Sangli Miraj Kupwad, Maharashtra 416416","
070303 06611","https://www.google.com/maps/place/Vishwa+Medical+Admission+Point+-+Sangli/@16.8752409,74.5450197,14z/data=!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc1190c9575eef1:0xd02d4d9b83b266ce!8m2!3d16.8662406!4d74.5783505!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmFaGiIYcGcgaW4gc2FuZ2xpIG1haGFyYXNodHJhkgEWZWR1Y2F0aW9uYWxfY29uc3VsdGFudJoBJENoZERTVWhOTUc5blMwVkpVRGh5ZG5wQ00yRkxTaTFuUlJBQuABAPoBBAgAEEs!16s%2Fg%2F11mcytdb0s?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
31,NA,"
RHXV+G4X Deval Complex, behind bank of India, Gandhi Nagar, Vishrambag, Sangli, Sangli Miraj Kupwad, Maharashtra 416416","
086688 92125","https://www.google.com/maps/place/Girl's+PG/@16.8488197,74.5567994,14z/data=!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc11942a465ded7:0x2b9fb6384ee532e7!8m2!3d16.8488197!4d74.5928483!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmGSARFhcGFydG1lbnRfY29tcGxleOABAA!16s%2Fg%2F11vc1jtk25?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
32,Girl's PG,"
RHXV+G4X Deval Complex, behind bank of India, Gandhi Nagar, Vishrambag, Sangli, Sangli Miraj Kupwad, Maharashtra 416416","
086688 92125","https://www.google.com/maps/place/Girl's+PG/@16.8488197,74.5567994,14z/data=!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc11942a465ded7:0x2b9fb6384ee532e7!8m2!3d16.8488197!4d74.5928483!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmGSARFhcGFydG1lbnRfY29tcGxleOABAA!16s%2Fg%2F11vc1jtk25?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
33,Girl's PG,"
RHXV+G4X Deval Complex, behind bank of India, Gandhi Nagar, Vishrambag, Sangli, Sangli Miraj Kupwad, Maharashtra 416416","
086688 92125","https://www.google.com/maps/place/LATTHE+EDUCATION+SOCIETY,SANGLI./@16.8488197,74.5567994,14z/data=!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc119d9ec026f4f:0x516369fdfb0e183f!8m2!3d16.8628243!4d74.5718174!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmFaGiIYcGcgaW4gc2FuZ2xpIG1haGFyYXNodHJhkgEXZWR1Y2F0aW9uYWxfaW5zdGl0dXRpb26aASRDaGREU1VoTk1HOW5TMFZKUTBGblRVUm5iVXBwUzNSblJSQULgAQD6AQQIABAr!16s%2Fg%2F11x0jgtzdl?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
34,Girl's PG,"
RHXV+G4X Deval Complex, behind bank of India, Gandhi Nagar, Vishrambag, Sangli, Sangli Miraj Kupwad, Maharashtra 416416","
086688 92125","https://www.google.com/maps/place/LATTHE+EDUCATION+SOCIETY,SANGLI./@16.8628243,74.5357685,14z/data=!4m10!1m2!2m1!1sPG+in+Sangli+Maharashtra!3m6!1s0x3bc119d9ec026f4f:0x516369fdfb0e183f!8m2!3d16.8628243!4d74.5718174!15sChhQRyBpbiBTYW5nbGkgTWFoYXJhc2h0cmFaGiIYcGcgaW4gc2FuZ2xpIG1haGFyYXNodHJhkgEXZWR1Y2F0aW9uYWxfaW5zdGl0dXRpb26aASRDaGREU1VoTk1HOW5TMFZKUTBGblRVUm5iVXBwUzNSblJSQULgAQD6AQQIABAr!16s%2Fg%2F11x0jgtzdl?entry=ttu&g_ep=EgoyMDI2MDMwOC4wIKXMDSoASAFQAw%3D%3D"
